Date,Product,Quantity,Price,Customer_ID,Region,Marketing_Spend,Total_Sales
2026-01-01,Laptop,5,43602,C1001,South,6012,218010
2026-01-02,Mobile,9,16919,C1002,West,3424,152271
2026-01-03,Laptop,2,43622,C1003,South,5582,87244
2026-01-04,Smartwatch,1,7465,C1004,South,11195,7465
2026-01-05,Smartwatch,4,6718,C1005,East,9359,26872
2026-01-06,Laptop,7,44153,C1006,East,7574,309071
2026-01-07,Mobile,6,17381,C1007,North,3674,104286
2026-01-08,Headphones,6,1396,C1008,East,7635,8376
2026-01-09,Laptop,8,46488,C1009,North,10785,371904
2026-01-10,Headphones,9,1322,C1010,East,6803,11898
2026-01-11,Smartwatch,2,5787,C1011,South,2750,11574
2026-01-12,Tablet,4,20826,C1012,West,3654,83304
2026-01-13,Tablet,6,22357,C1013,East,4664,134142
2026-01-14,Tablet,5,21358,C1014,South,3169,106790
2026-01-15,Smartwatch,4,7986,C1015,West,4677,31944
2026-01-16,Headphones,9,2105,C1016,East,5598,18945
2026-01-17,Laptop,1,44438,C1017,West,7168,44438
2026-01-18,Tablet,4,20771,C1018,East,11292,83084
2026-01-19,Mobile,8,19184,C1019,West,8482,153472
2026-01-20,Mobile,3,17584,C1020,East,6040,52752
2026-01-21,Smartwatch,10,6754,C1021,East,8543,67540
2026-01-22,Mobile,9,17066,C1022,North,10085,153594
2026-01-23,Laptop,3,43949,C1023,West,4621,131847
2026-01-24,Smartwatch,7,5260,C1024,West,8252,36820
2026-01-25,Smartwatch,9,6029,C1025,North,2188,54261
2026-01-26,Smartwatch,6,6092,C1026,East,3827,36552
2026-01-27,Headphones,8,1647,C1027,East,2053,13176
2026-01-28,Smartwatch,9,5731,C1028,East,3743,51579
2026-01-29,Smartwatch,4,7494,C1029,East,4504,29976
2026-01-30,Mobile,9,18709,C1030,East,2009,168381
2026-01-31,Headphones,2,1079,C1031,East,7947,2158
2026-02-01,Mobile,4,16737,C1032,North,11295,66948
2026-02-02,Laptop,8,46497,C1033,South,3133,371976
2026-02-03,Mobile,8,19202,C1034,South,11007,153616
2026-02-04,Tablet,10,22661,C1035,South,8932,226610
2026-02-05,Smartwatch,4,7989,C1036,West,7107,31956
2026-02-06,Tablet,9,22294,C1037,North,9397,200646
2026-02-07,Mobile,2,17420,C1038,North,7539,34840
2026-02-08,Smartwatch,4,7268,C1039,South,11641,29072
2026-02-09,Laptop,1,43790,C1040,North,5750,43790
2026-02-10,Laptop,2,44853,C1041,South,10423,89706
2026-02-11,Tablet,8,23240,C1042,South,5510,185920
2026-02-12,Smartwatch,8,7360,C1043,West,5981,58880
2026-02-13,Headphones,2,1779,C1044,West,3588,3558
2026-02-14,Tablet,7,22234,C1045,North,9651,155638
2026-02-15,Laptop,7,43748,C1046,North,7559,306236
2026-02-16,Mobile,4,17284,C1047,West,10786,69136
2026-02-17,Mobile,3,18228,C1048,West,6563,54684
2026-02-18,Mobile,8,16808,C1049,North,11016,134464
2026-02-19,Laptop,9,46171,C1050,North,2241,415539
2026-02-20,Mobile,7,17181,C1051,West,9956,120267
2026-02-21,Mobile,1,18142,C1052,West,4697,18142
2026-02-22,Laptop,5,45099,C1053,East,9454,225495
2026-02-23,Headphones,9,3853,C1054,South,9973,34677
2026-02-24,Mobile,4,17715,C1055,North,2958,70860
2026-02-25,Tablet,1,20734,C1056,West,11571,20734
2026-02-26,Smartwatch,3,7175,C1057,North,2931,21525
2026-02-27,Mobile,10,16780,C1058,South,3113,167800
2026-02-28,Headphones,10,1491,C1059,North,6033,14910
2026-03-01,Smartwatch,7,5335,C1060,East,11562,37345
2026-03-02,Tablet,6,21336,C1061,East,5910,128016
2026-03-03,Headphones,5,1536,C1062,East,9491,7680
2026-03-04,Laptop,8,43538,C1063,North,11224,348304
2026-03-05,Laptop,4,45702,C1064,East,10288,182808
2026-03-06,Mobile,2,17929,C1065,East,6002,35858
2026-03-07,Tablet,8,21146,C1066,East,10900,169168
2026-03-08,Smartwatch,9,7678,C1067,East,2128,69102
2026-03-09,Laptop,5,44050,C1068,North,3891,220250
2026-03-10,Smartwatch,5,5636,C1069,South,6616,28180
2026-03-11,Tablet,5,21333,C1070,West,10280,106665
2026-03-12,Tablet,2,20708,C1071,East,8939,41416
2026-03-13,Laptop,6,43514,C1072,East,4143,261084
2026-03-14,Mobile,9,18309,C1073,North,9007,164781
2026-03-15,Laptop,3,43808,C1074,North,10938,131424
2026-03-16,Tablet,9,22885,C1075,West,4426,205965
2026-03-17,Mobile,5,16671,C1076,North,7974,83355
2026-03-18,Tablet,4,21360,C1077,East,3684,85440
2026-03-19,Smartwatch,10,6664,C1078,South,4532,66640
